gene_id,symbol,entrez,log2FoldChange,padj,baseMean,lfcSE,pvalue
ENSG00000243156,MICAL3,57553,-0.4110251174070031,0.091973682811992,360.85873951659664,0.2363990899558343,0.0163170253460102
ENSG00000136826,KLF4,9314,-0.4861836489082632,0.09198302608485114,1268.2513472883138,0.32756366037173595,0.01632367793892443
ENSG00000140743,CDR2,1039,0.3714212996180365,0.09204280388525002,792.5106072273411,0.19924491795975308,0.01633928459955918
ENSG00000244414,CFHR1,3078,0.4103361294064755,0.09208220648833385,313.56071581654555,0.23527116585200372,0.01635127967509376
ENSG00000233276,GPX1,2876,0.30800407021433474,0.09209211234557932,3844.998114063996,0.15221165644816828,0.01635803961348846
ENSG00000237126,NA,NA,0.5785720638991797,0.09233402491742218,17.30307512535836,0.5179015819082157,0.01640602386803178
ENSG00000253741,LNCOC1,100288181,-0.5724239759422973,0.0926564611732399,9.988140342251572,0.8926715044850805,0.01646834631659051
ENSG00000261705,NA,NA,0.4965545564474292,0.09266960283914008,42.389477620525994,0.3423227460713214,0.01647571434674692
ENSG00000092847,AGO1,26523,-0.21284528608319217,0.0930014736027698,976.6011998919204,0.09587026444374584,0.01653976790926261
ENSG00000100003,SEC14L2,23541,0.403873086054527,0.09325440150246972,168.99790523340033,0.23048817294428933,0.01658981370198701
ENSG00000185860,CCDC190,339512,0.18722258092789051,0.09340355473998709,4.380898946078805,0.3578994796972076,0.01662141997735203
ENSG00000149115,TNKS1BP1,85456,0.2477943652371732,0.0934620347519825,7980.598652876477,0.11504844908110252,0.01663690197757255
ENSG00000178401,DNAJC22,79962,-0.48347839599066456,0.09347822417108918,29.69753165031423,0.3189339032331011,0.01664486000852573
ENSG00000230333,NA,NA,0.49582149010157106,0.0935376335555842,40.83734871247247,0.3404951361130782,0.01666051795070954
ENSG00000090776,EFNB1,1947,-0.42973626270202697,0.09358776002225062,547.2711407599927,0.26856077161252806,0.01668347863732536
ENSG00000115457,IGFBP2,3485,0.18734714043792916,0.09358776002225062,1919.142201603019,0.3585978312116988,0.01668919352341844
ENSG00000122557,HERPUD2,64224,0.20456046119965948,0.09358776002225062,807.8038464066286,0.09172979590302348,0.01669993914923245
ENSG00000185480,PARPBP,55010,-0.44311081397078,0.09358776002225062,126.48301725192816,0.27518368764584217,0.01669143350326985
ENSG00000205476,CCDC85C,317762,-0.4612764323041698,0.09358776002225062,112.0548548860734,0.2956690421764811,0.01669923390377947
ENSG00000207563,MIR23B,407011,0.22938234557319448,0.09358776002225062,3.918379103841546,0.4116042514599535,0.01669415637347683
ENSG00000123154,WDR83,84292,0.36581874370776496,0.09362506254194372,63.99773331061084,0.1964799784709887,0.01671196570664885
ENSG00000179456,ZBTB18,10472,-0.30988509405602116,0.09362506254194372,183.47070354050263,0.15427908404819052,0.01671676381416839
ENSG00000179981,TSHZ1,10194,-0.4642196378677276,0.09377035662302764,627.2396088758799,0.3010263189549657,0.01674779815004821
ENSG00000079332,SAR1A,56681,0.2569204822831242,0.09387529169744464,3435.4376455891365,0.12054306961553175,0.01677163777814786
ENSG00000165916,PSMC3,5702,0.18501820131056773,0.09400951339159525,1431.3596748277791,0.08174338678666683,0.01680072270278251
ENSG00000099219,ERMP1,79956,0.2817981357625122,0.09416621442574782,591.1519014766632,0.1359619522893522,0.01683384077597403
ENSG00000101665,SMAD7,4092,0.26314359445050667,0.09439921756723942,253.3672688404573,0.1245583973425234,0.01688062033390819
ENSG00000105404,RABAC1,10567,0.2847532796278833,0.09446338861505812,1776.1877091878544,0.13561440524980675,0.01689722520217222
ENSG00000079308,TNS1,7145,-0.22551975460942103,0.09447421648419498,6236.359514804353,0.10242469590653049,0.01690942261916408
ENSG00000159685,CHCHD6,84303,-0.333560659420173,0.09447421648419498,107.03855044655256,0.17166401340240434,0.01690640857704184
ENSG00000138030,KHK,3795,0.5528699129130216,0.09460786220365094,24.0345746966739,0.47226541442063025,0.01693848067800365
ENSG00000197497,ZNF665,79788,-0.41409000742921376,0.09464005766509474,60.03482530795657,0.24111850129696,0.01694938420741148
ENSG00000197070,ARRDC1,92714,0.27812769375906987,0.09473732386113395,298.32747339528396,0.1339573102722877,0.01697194848861694
ENSG00000138031,ADCY3,109,0.3904309520823792,0.09474225919028034,1091.7898258902148,0.21922270592547183,0.01697797748183139
ENSG00000126391,FRMD8,83786,0.3292385778339691,0.09493004433323993,611.8425434743438,0.168888730227028,0.01701678394482894
ENSG00000118526,TCF21,6943,0.3939777238726499,0.09501233463248954,5865.9540306270355,0.22278292760870255,0.01703669448582571
ENSG00000107623,NA,NA,-0.5393360875664042,0.09502465337243032,4138.028256039777,0.418523058078334,0.01704922371667172
ENSG00000184985,SORCS2,57537,0.5523901254156437,0.09502465337243032,66.83798296054042,0.7489477923497867,0.01704608603181
ENSG00000132603,NIP7,51388,0.3229769532648845,0.09505948774875068,276.9549640531917,0.16402663267351825,0.01706063573226288
ENSG00000119718,EIF2B2,8892,-0.35743343823109364,0.0950923572242579,371.90399724500656,0.19151771391898545,0.01708202648372767
