gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000087448,907.6579617966653,1.0303424208239051,0.12951360542279733,1.4539170340605228e-16,2.6508794239826263e-14
ENSG00000101342,42.90137769413995,4.062426239471881,0.5125733805701018,1.6237778002460153e-16,2.931555705051997e-14
ENSG00000162426,168.59687070981474,1.259273445606831,0.15899618884907696,1.664141793927462e-16,2.9752593335120595e-14
ENSG00000051108,2272.4167321465575,0.729505030687052,0.09175596547131122,2.1882723754924874e-16,3.874714980259053e-14
ENSG00000103064,780.7654436220714,1.3846401530300805,0.17584874952829216,2.2111554327649491e-16,3.877945456606337e-14
ENSG00000099860,368.1581926105059,1.4140698651548074,0.18062403776963146,3.3260313592877796e-16,5.778195045404194e-14
ENSG00000020577,3104.999030504834,1.1739756508665573,0.14976352400935194,3.4528362208171543e-16,5.942427944518495e-14
ENSG00000253368,1040.174817463747,1.9089930986823354,0.24502843376294084,3.660862673966948e-16,6.242109827879755e-14
ENSG00000157152,49.94911378250459,3.4516308045717556,0.44123578773948247,3.7030246141807897e-16,6.256073235792592e-14
ENSG00000145685,2018.1505520586948,-1.2077548394795128,0.15471351713977377,4.051740574158597e-16,6.782982061193688e-14
ENSG00000105516,84.57430517280459,-1.6055859329813489,0.2068305984977688,4.509929619065361e-16,7.482013868026002e-14
ENSG00000019995,2078.3873287699043,0.8961792679140353,0.11457049100184709,4.883631395629097e-16,8.029649299152663e-14
ENSG00000173068,2793.3654656417234,-0.8516143216901189,0.10901293800748081,5.417560461701516e-16,8.828705832056054e-14
ENSG00000120690,1383.5870483844947,0.8978510610645699,0.11506200128168148,5.907423976093113e-16,9.482172346609249e-14
ENSG00000233117,77.63159913256973,3.3669783083042453,0.43594469036900974,5.921530382080172e-16,9.482172346609249e-14
ENSG00000135862,33937.7634938646,0.7835806920744909,0.1004166439071906,6.690847180997744e-16,1.0621719899833918e-13
ENSG00000127824,228.71678295736473,-1.49275507003146,0.19383485984499038,9.591943612977467e-16,1.5097063387434192e-13
ENSG00000108830,158.26107554704348,-2.289838753374492,0.3009191600572561,1.6869146734531495e-15,2.6325876026813345e-13
ENSG00000100033,55.36392008592534,4.802839298735462,0.6285966170802234,1.8329322765073447e-15,2.836424190914517e-13
ENSG00000130066,4098.119994283983,1.2828674906978923,0.16938536885121633,2.5946187540350655e-15,3.981658696296311e-13
ENSG00000183722,3013.233416216041,0.6751230084063129,0.0881928845736144,2.6228459037048067e-15,3.991711348489588e-13
ENSG00000138316,799.5608192588469,-2.330688901504379,0.30959348429885974,2.7586707822690205e-15,4.164010037334755e-13
ENSG00000013293,244.49400651336026,-2.742939325062144,0.3662611377795405,3.1282025568562033e-15,4.616654734936367e-13
ENSG00000146250,313.6861593488862,-2.640965417916567,0.352471160751874,3.0846144279260723e-15,4.616654734936367e-13
ENSG00000198795,944.860135397388,-0.9653850269505825,0.1274802648560354,3.133759662595959e-15,4.616654734936367e-13
ENSG00000115419,3865.2406048526823,1.1506308098611016,0.1524166303734716,3.199766857598573e-15,4.676484657355374e-13
ENSG00000077254,2737.0145408296094,0.8674345323699065,0.11459125699639154,3.610342229676375e-15,5.234996233030744e-13
ENSG00000119139,5029.854776880439,1.8926408765010385,0.25397124656438025,4.83958956215739e-15,6.855464752856026e-13
ENSG00000149218,2027.1842051095255,1.8967888849740402,0.254247016050558,4.825811766627247e-15,6.855464752856026e-13
ENSG00000157510,488.00036303924844,1.6434815453847242,0.21997624537061006,4.790578345813778e-15,6.855464752856026e-13
ENSG00000104756,1778.584421760562,0.8039927838063008,0.10659201774982079,4.915691020004482e-15,6.910110697204774e-13
ENSG00000136877,1049.2721461612564,0.6196828180359701,0.08180474101518777,5.476670274168767e-15,7.640369931728624e-13
ENSG00000135362,111.75861866280897,1.4916860119219442,0.20122258205882104,8.168807413767931e-15,1.131042018981477e-12
ENSG00000136999,435.70635806320126,-2.4914157317460437,0.33856223477025954,8.571883442464936e-15,1.177994280544715e-12
ENSG00000143891,528.3869625697681,-1.07751911539571,0.14534583099784437,8.949081030270697e-15,1.2207209420180363e-12
ENSG00000198431,22734.576608875905,1.4976423289299632,0.20357590006442947,1.1972215419964257e-14,1.6210907864606015e-12
ENSG00000099337,530.0588493541704,2.7143436467557582,0.37097228602243976,1.3433716601089544e-14,1.8057072351026565e-12
ENSG00000152332,2975.4303521210018,0.6403738703458324,0.08599665890363468,1.3912006093410845e-14,1.8564463203634836e-12
ENSG00000176771,107.65102239431195,-2.1305186463282872,0.29192422182726707,1.4921517814280117e-14,1.9768327377695564e-12
ENSG00000170214,201.57736949519511,3.553483538844592,0.48791148247501337,1.6650472033524068e-14,2.190131732123898e-12
ENSG00000049246,196.02826560004144,-2.089848227872696,0.28892439621451166,2.0768221978653352e-14,2.7123887073539115e-12
ENSG00000042286,594.4764122075434,0.6882934866985401,0.09346830818849414,2.3888176132282195e-14,3.0978927005350463e-12
ENSG00000179820,3784.342777017276,1.438146477375195,0.19990484920497523,3.850598663562558e-14,4.958655551713602e-12
ENSG00000087116,4464.404469115347,0.6813873938310693,0.09346555273572807,4.1392181078807507e-14,5.293312601154446e-12
ENSG00000182010,118.30574889849973,-1.8331052949491164,0.2593702390173452,9.257736077240262e-14,1.1757324818095133e-11
